Example,DA,Sub_Category
tell me if i have new emails,d,d
play a seventies ballad by annunzio paolo mantovani on groove shark,d,d
book sot for 7 at a restaurant that serves european in stringtown on feb the 28th 2034,d,d
remove the specified lienholder from my policy,d,d
find a hotel for my summer vacation,d,d
book a reservation for 1 on march 17,d,d
rate a twist in the tale zero out of 6 points,d,d
hey alexa please turn bedroom lights off,d,d
give the televised morality series a one,d,d
spy on all developers,d,d
use the first lesson to explain all the of the chess pieces and how they move,d,d
find the remote,d,d
switch to the song from album,d,d
open itunes and play kenny cox most popular concerto,d,d
give a kentucky cardinal four points,d,d
add the song don t drink the water to my playlist,d,d
take a note,d,d
halt,d,d
find the earth is a sinful song,d,d
move el viaje de copperpot into my emily dickinson playlist,d,d
add maschi e altri to my this is john williams,d,d
show the movie times,d,d
play moondog s chupacabra,d,d
find movie schedules for bow tie cinemas,d,d
remind me to move so there is no weight gain,d,d
book midday at a faraway cuban place for five at a toprated bakery in grainola,d,d
drop my june holiday from calendar,d,d
find the show manthan,d,d
please tell me where can i buy insurance from,d,d
play les pauvres riches by pan mei chen,d,d
find me a movie to watch,d,d
please tell me if there are fees for credit card payments,d,d
hey call the nearest chinese restaurant for a takeaway,d,d
alexa test my knowledge of history,d,d
give one out of 6 stars to free market fairness,d,d
open up the fridge,d,d
help me finding a hotel near times square in new york city,d,d
play caitlin cary from the fourties,d,d
tell me if it ll be chillier in 3 minutes here,d,d
turn the heat up in the kitchen,d,d
find a coffeehouse in illinois for three,d,d
please provide me necessary insurance policy documents,d,d
find me the balance and timing book,d,d
play slacker tunes,d,d
show creativity of adobe air,d,d
continue to work with the faith that unearned suffering is redemptive,d,d
book a restaurant reservation in 6 weeks,d,d
rate hate that cat 1 out of 6 stars,d,d
turn off bluetooth,d,d
show me the courts of chaos,d,d
rate the current novel 0 of 6,d,d
tell me my policy terms and conditions regarding auto glass breakage,d,d
add this tune to the refugee playlist,d,d
extract the information you can,d,d
olly book a ticket to paris on eurostar at 5pm this friday,d,d
please shift this account balance to another account,d,d
book a spot at a restaurant within walking distance of palau,d,d
add this song to my playlist named wild country,d,d
switch off the ac,d,d
show movie schedules,d,d
add track in my playlist called hands up,d,d
create an event for a johns birthday ,d,d
tell me my user id,d,d
add this song by too poetic to my piano ballads playlist,d,d
hi alexa play me playlist of a r rehman songs released current year,d,d
find a soundtrack for meditations,d,d
find a movie schedule,d,d
hey siri invite alex to my birthday,d,d
request data,d,d
rate this essay a four,d,d
clean the dishes please,d,d
play some new les vandyke on slacker,d,d
play music from 2002,d,d
find me the book my people were fair and had sky in their hairn but now theynre content to wear stars on their brows,d,d
put meeting with pawel for tomorrow 10am,d,d
search for the tv show a lawless street,d,d
show me the closest movie house playing an unfinished life at eight pm,d,d
ana tell me the last message,d,d
please help me sign out of my account,d,d
play my most listened songs,d,d
play the greatest music from bryan maclean,d,d
send email to gbaby tell her gma loves her and hopes she has a great weekend,d,d
delete as much as you can,d,d
make me a coffee,d,d
please check the name of person who is handling the claim,d,d
rate the gift imagination and the erotic life of property five stars,d,d
play music from my rock list,d,d
tell me about travel insurance,d,d
delete all events for the next five days,d,d
siri show me the movie schedule in the neighbourhood,d,d
rate this novel a two,d,d
please tell me what extra fees ill be charged if i cancel my policy,d,d
add sara carter to my nothing but a party rb,d,d
find a photograph called xquery api for java,d,d
rate the current novel zero points,d,d
add the artist to the political punks playlist,d,d
find a love song,d,d
give zero out of 6 points to marxism and the oppression of women,d,d
tell me the weather forecast for april 15 2019 here,d,d
advise me,d,d
play music by fidel nadal sorted by newest,d,d
schedule a meeting on tuesday,d,d
book a restaurant in delhi arkansas for three people,d,d
tell me how to increase my level of life insurance coverage,d,d
remove my exhusband from my auto policy,d,d
play a ballad from 2000,d,d
turn the record over,d,d
enable shuffle,d,d
assistant name toss a coin,d,d
remind me for tomorrow meeting,d,d
use the big red button to move around,d,d
find trauma center new blood an album,d,d
book sot for 22 minutes from now at a restaurant with parking,d,d
book a table for one at montyns hotel secunderabad,d,d
please delete my son from my car policy,d,d
book a food court in raytown arizona that serves green bean casserole on july 20th,d,d
give two out of 6 to a christmas carol,d,d
please waive the handling fee,d,d
give one of 6 points to who will cry when you die,d,d
include kunnon syy in my trap land playlist,d,d
help me study the steps for effective employee coaching,d,d
remove all clutter from my bedroom,d,d
tell me how to log off of my account,d,d
add this album to my just dance by aftercluv playlist,d,d
put an alert in my calendar every week,d,d
id like to hear queens barcelona,d,d
book a restaurant in the dominican republic in one minute for a party of eight,d,d
tell me how to cook steak,d,d
remove lienholder form auto policy,d,d
make a catalogue,d,d
please update my account to reflect my new name,d,d
give 4 out of 6 points to the spirit ring chronicle,d,d
please look up for disney universe,d,d
place raise your fist onto year in metal 2016,d,d
give summer of the swans 1 points,d,d
remove next meeting today in my calendar,d,d
go to my all out 00s and add brian wilson,d,d
play some rap on pandora,d,d
play music from itunes for ric grech,d,d
hey play the song alive by ima robot,d,d
chop the carrots,d,d
please help me buy tickets for tonight at amc mountain 16,d,d
alexa unmute the fire tv,d,d
dim the lights in the kitchen,d,d
please set the lights to green,d,d
rate cold light 5 out of 6 points,d,d
turn the kitchen temperature down,d,d
tell me all local events,d,d
use the service lastfm to play music by the artist ai kago,d,d
show me theatre where pirates of caribbean is playing,d,d
select a winner then rank order the losers,d,d
send message to google from alexa,d,d
add jason webley to classical intimate dinner playlist,d,d
look up the baltic times picture,d,d
add eggs to list,d,d
please help me to find my user id,d,d
find an album called burnout the ultimate drag race challenge,d,d
book me a reservation for a pub in cormorant for a party of nine,d,d
find time for movie times now,d,d
play rain by subliminal on groove shark,d,d
add the nastya kamenskih song to my the martin garrix show playlist,d,d
please delete the other person on my policy coverage,d,d
check my social networks,d,d
show me the painting called fool for love,d,d
tell me the time in moscow,d,d
alexa open apple store,d,d
olly list most rated deliveroo options for chinese food,d,d
add a gackt camui track to the white noise playlist,d,d
find a reservation at a restaurant that serves gougnre in laneville with a party of nine,d,d
please book me a table at a pizzeria with a parking facility in ghana,d,d
play a nineties tune by sugar minott on netflix,d,d
tell me the weather forecast close by brown county state park for meal time,d,d
please book a room in spaghetti warehouse for catalina delores and brandie mendoza at 12 am,d,d
rate the current essay 2 out of 6,d,d
turn on spotify to tiny tim ep,d,d
find the movie schedule for films in the area,d,d
add tune to my is it new wave,d,d
skip song,d,d
assistant name activate cibc master card,d,d
tell me if it ll be temperate three hours from now in bonaire,d,d
add the famous flower of servingmen to my evening acoustic playlist,d,d
play some music on vimeo,d,d
find the game company of heroes,d,d
use vimeo to play a mark king record from 1993,d,d
play a sixties soundtrack,d,d
play some sonu niigaam from the fifties,d,d
hello mira check celebrity where abouts,d,d
rate this textbook a one,d,d
find the return to grace saga,d,d
set alarm at 500 am,d,d
stop feeding the dog from the table,d,d
find the tv series shaun the sheep,d,d
okay google assistant tell me a vacation limerick,d,d
give the current novel four points,d,d
remove calendar events for this week,d,d
please help me to find billing account number,d,d
give the catedral series four stars,d,d
add cleo laine to psychedelic rock,d,d
add toyan to my epic gaming playlist,d,d
creat a new todo list,d,d
please do the laundry,d,d
please reset my policy,d,d
remove the list called party time,d,d
remind me an email to my sister,d,d
get me kiss the crystal flake,d,d
repeat this event,d,d
please tell my policy number,d,d
play hard work hard,d,d
give 5 out of 6 points to absolutely positively not series,d,d
play some music by karl blau,d,d
play music off netflix,d,d
turn down the heat,d,d
add the track to the best metal of the new millennium playlist,d,d
tell the student the chess lesson will take place in three parts,d,d
find a movie house nearest for films,d,d
please make me reservations somewhere for eight people in foley nv,d,d
please set up automatic payments,d,d
book a table at a toprated brasserie in pakistan,d,d
respond immediately,d,d
show weather forecast in west wildwood south carolina,d,d
add the block brochure welcome to the soil 6 onto my cafn con leche list,d,d
rate the current chronicle five stars,d,d
book a table for 1 person at a popular brasserie in jansen that serves english food,d,d
turn the bathroom lights on,d,d
please send my policy documents,d,d
search for the un provinciale a new york tv show,d,d
speak up,d,d
please provide the contact details where i can get to know the status of claim i filed yesterday,d,d
